n,seed,T,kernel,family,gap,C_kT,C_far
10,1,1.0,shell(eps=3),oracle,0.03827741900014847,0.6353450102432181,0.4958457008842977
10,1,1.0,shell(eps=4),oracle,0.04299911405520551,0.3555733863448612,0.2760375543174338
10,1,0.3,uniform,naive,0.0015955430200679244,0.0010442903915539874,0.003714663642454664
10,1,0.3,single-flip,local,1.3600185644335738e-08,0.001343821941782074,0.0
10,1,0.3,add-delete-swap,local,1.2422892936569951e-08,0.0008043306425712925,0.0
10,1,0.3,quench,quench,0.03437283658774992,0.03214478292333816,0.06797454181093429
10,1,0.3,"demon(L=4,Td=1)",local,5.797802704599064e-08,0.0032073931069426663,3.417028893508743e-08
10,1,0.3,"demon(L=4,Td=8)",local,6.472494673559481e-08,0.002861042838657463,2.0947121958530366e-05
10,1,0.3,"dlp(t=.5,a=3)",informed,9.474268036768763e-10,0.002459632397394204,1.444324006583499e-07
10,1,0.3,"dlp(t=.05,a=3)",informed,7.595311759733825e-05,0.00045870771020182133,0.0006677890087280113
10,1,0.3,"dlp(t=0,a=3)",naive,0.0011174793124383298,0.0007384079885780903,0.0030811448955788364
10,1,0.3,"softspin(c=.1,a=30)",informed,0.0004970247022635377,0.00045030346239544896,0.0018103690644211538
10,1,0.3,"softspin(c=1,a=30)",informed,9.412923884788427e-09,0.0040556720244118985,1.2456808957622493e-07
10,1,0.3,shell(eps=2),oracle,0.07691645944193115,0.20733859107342917,0.747783454368384
10,1,0.3,shell(eps=3),oracle,0.08898446926562165,0.1456522171757963,0.5296861687679539
10,1,0.3,shell(eps=4),oracle,0.06969254365019373,0.08173437727377283,0.29568990365290615
10,1,0.1,uniform,naive,0.0011642742777207005,0.0009765421042208027,0.0032446195064326703
10,1,0.1,single-flip,local,2.3314683517128287e-15,2.884665276207519e-07,0.0
10,1,0.1,add-delete-swap,local,0.0,1.5002554828421462e-07,0.0
10,1,0.1,quench,quench,0.030611067682257076,0.03178423923518075,0.05803155555248102
10,1,0.1,"demon(L=4,Td=1)",local,0.0,2.481457728186888e-07,1.886817377164312e-22
10,1,0.1,"demon(L=4,Td=8)",local,5.773159728050814e-15,7.498600225331386e-07,1.1274540043217752e-12
10,1,0.1,"dlp(t=.5,a=3)",informed,0.0,2.4625103058151295e-07,1.4159948396771051e-21
10,1,0.1,"dlp(t=.05,a=3)",informed,1.7954789877094868e-09,3.3645685753360706e-07,6.706057358936724e-07
10,1,0.1,"dlp(t=0,a=3)",naive,0.0008057639833402019,0.000675874607920976,0.002683095125388379
10,1,0.1,"softspin(c=.1,a=30)",informed,0.00035803381933130485,0.0003073662877139163,0.0014255879984848233
10,1,0.1,"softspin(c=1,a=30)",informed,0.0,9.10384659016032e-07,2.281905923311401e-11
10,1,0.1,shell(eps=2),oracle,0.1099677310482785,0.19999561490145576,0.6644889463232723
10,1,0.1,shell(eps=3),oracle,0.11812695509016158,0.14285391110489962,0.4746318820702731
10,1,0.1,shell(eps=4),oracle,0.07112891379410324,0.08229808105277982,0.27169988679610385
10,2,1.0,uniform,naive,0.002121865913784715,0.005260770143337435,0.0022086506297224976
10,2,1.0,single-flip,local,0.006267801439602039,0.21177629515405386,0.0
10,2,1.0,add-delete-swap,local,0.0055637784602626805,0.13685295953290358,0.0
10,2,1.0,quench,quench,0.06049079665435553,0.16975005776432958,0.03228438146863406
10,2,1.0,"demon(L=4,Td=1)",local,0.022817650307129456,0.36475076675230594,0.003402676001992661
10,2,1.0,"demon(L=4,Td=8)",local,0.033372829152496175,0.26733258405490995,0.006983854921727832
10,2,1.0,"dlp(t=.5,a=3)",informed,0.010995095980070313,0.35887905856504576,0.008190891672165091
10,2,1.0,"dlp(t=.05,a=3)",informed,0.012014663373578816,0.022500895614288686,0.004209058996704518
10,2,1.0,"dlp(t=0,a=3)",naive,0.0036716298504635425,0.007961060630056017,0.0025031811694406006
10,2,1.0,"softspin(c=.1,a=30)",informed,0.017033189387983816,0.0370890020657359,0.00491003970109318
10,2,1.0,"softspin(c=1,a=30)",informed,0.0018490852544771341,0.3919854329709909,0.0019602071526406807
10,2,1.0,shell(eps=2),oracle,0.039498841344149827,0.9999999999999999,0.15566621536665914
10,2,1.0,shell(eps=3),oracle,0.062186463592102004,0.47773667601688297,0.10365632838616087
10,2,1.0,shell(eps=4),oracle,0.0709445960836943,0.29778978289571106,0.07660597910775857
10,2,0.3,uniform,naive,0.0011356531391156777,0.0009776294972584022,7.748239597508003e-06
10,2,0.3,single-flip,local,2.136254387741232e-05,0.09985075362798988,0.0
10,2,0.3,add-delete-swap,local,1.8251284229942044e-05,0.06503152015511263,0.0
10,2,0.3,quench,quench,0.06748939582310409,0.08982088300053709,0.00016518532670765847
10,2,0.3,"demon(L=4,Td=1)",local,9.267716631489176e-05,0.11050210136689173,1.2789420919174553e-07
10,2,0.3,"demon(L=4,Td=8)",local,0.014816889797082622,0.2949108446271968,8.00137611721449e-06
10,2,0.3,"dlp(t=.5,a=3)",informed,3.6233000753060907e-06,0.29814550051786476,4.045172143210449e-06
10,2,0.3,"dlp(t=.05,a=3)",informed,0.01562304389413538,0.045618660865936994,2.6525679031282806e-05
10,2,0.3,"dlp(t=0,a=3)",naive,0.0021352393449999285,0.001837744094236065,9.586681381496298e-06
10,2,0.3,"softspin(c=.1,a=30)",informed,0.01360858857335756,0.013360803063102692,1.9096319825394617e-05
10,2,0.3,"softspin(c=1,a=30)",informed,0.0011562492003140967,0.29347021223037084,4.240053238619413e-06
10,2,0.3,shell(eps=2),oracle,0.10633781733711112,0.47630353671976333,0.0008555244617793363
10,2,0.3,shell(eps=3),oracle,0.1244295228331378,0.19190233801010212,0.0005043072331289506
